Customer,Company name,Category
A1B00,A1 BRAKES PTY LTD,3030
AAA02,AAA PARTS CENTRE,3020
ABC03,ABC BRAKE AND CLUTCH,3030
ABI01,ABI SERVICE TEAM,3030
ABS04,ABS MOORABBIN,3050
ABS06,ABSOLUTE SPARES PTY LTD,3030
ABS07,ABS SALISBURY,3030
ACE10,ACE INDUSTRIAL PTY LTD,3030
ACE11,ACE BRAKES SERVICE,3030
ACT04,ACTION AUTO ELECTRICS PTY LTD,3030
ACT15,A C T BRAKE SERVICE (store clo,3040
ACT22,ACT BRAKES AND SERVICING PTY L,3040
ACT23,ACT BRAKES AND SERVICING PTY L,3040
ADT00,ADTRANS TRUCK CENTRE PTY LTD,3030
ADV16,ADVANCED BRAKE & CLUTCH,3050
AER00,AERO DEFENCE PTY LTD,3020
AFG00,A F GASON PTY LTD,3010
AGP01,AG PARTS PTY LTD,3030
AGR11,J.J. O'CONNOR & SONS PTY. LTD.,3030
AGR13,AGRIMAC BALLARAT,3030
AGR14,AGRI-CON SOLUTIONS PTY LTD,3010
AGR15,AGRI-TECH SOLUTIONS INTERNATIO,3050
AJA00,A & J AUTO ONE,3020
AKN00,Nankervis Performance Boats,3030
ALB14,AUTOBARN ALBION PARK,3021
ALB15,ALBURY TRUCK & TRAILER PARTS,3010
ALB16,AUTOBARN ALBURY,3021
ALB19,ALBURY BRAKE & CLUTCH CENTRE,3030
ALB20,ALBANY CAR PARTS,3030
ALD00,AUTOPRO ALDINGA,3021
ALI07,ALICE SPRINGS AUTO PARTS,3020
ALL05,ALL TRANSPORT CRASH REPAIRS,3010
ALL25,ALL CAR SPARES,3020
ALL34,ALLIED PARTS,3020
ALL38,ALL CARBITZ PTY LTD,3040
ALL49,ALL WEST AUTO PARTS PTY LTD,3030
ALL57,ALLMOSTA AGENCIES,3030
ALL58,ALL CLUTCH & BRAKE,3050
AME00,AMERICAN AUTO PARTS,3030
ANY02,ANY MECHANICAL REPAIRS PTY LTD,3020
