PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
000102,PRICEGROUP1,33.45,83.0477,3050
000102,PRICEGROUP2,33.45,83.0477,3040
000102,PRICEGROUP3,36.9106,83.0477,3030
000102,PRICEGROUP4,41.5239,83.0477,3020
000102,PRICEGROUP5,44.9836,83.0477,3010
000102,PRICEGROUP6,33.45,83.0477,3031
000102,PRICEGROUP7,41.5239,83.0477,3021
000102UC,PRICEGROUP1,33.45,83.0477,3050
000102UC,PRICEGROUP2,33.45,83.0477,3040
000102UC,PRICEGROUP3,36.9106,83.0477,3030
000102UC,PRICEGROUP4,41.5239,83.0477,3020
000102UC,PRICEGROUP5,44.9836,83.0477,3010
000102UC,PRICEGROUP6,33.45,83.0477,3031
000102UC,PRICEGROUP7,41.5239,83.0477,3021
000200,PRICEGROUP1,33.45,83.0477,3050
000200,PRICEGROUP2,33.45,83.0477,3040
000200,PRICEGROUP3,36.9106,83.0477,3030
000200,PRICEGROUP4,41.5239,83.0477,3020
000200,PRICEGROUP5,44.9836,83.0477,3010
000200,PRICEGROUP6,33.45,83.0477,3031
000200,PRICEGROUP7,41.5239,83.0477,3021
000200UC,PRICEGROUP1,33.45,83.0477,3050
000200UC,PRICEGROUP2,33.45,83.0477,3040
000200UC,PRICEGROUP3,36.9106,83.0477,3030
000200UC,PRICEGROUP4,41.5239,83.0477,3020
000200UC,PRICEGROUP5,44.9836,83.0477,3010
000200UC,PRICEGROUP6,33.45,83.0477,3031
000200UC,PRICEGROUP7,41.5239,83.0477,3021
000220,PRICEGROUP1,33.45,83.0477,3050
000220,PRICEGROUP2,33.45,83.0477,3040
000220,PRICEGROUP3,36.9106,83.0477,3030
000220,PRICEGROUP4,41.5239,83.0477,3020
000220,PRICEGROUP5,44.9836,83.0477,3010
000220,PRICEGROUP6,33.45,83.0477,3031
000220,PRICEGROUP7,41.5239,83.0477,3021
000220UC,PRICEGROUP1,33.45,83.0477,3050
000220UC,PRICEGROUP2,33.45,83.0477,3040
000220UC,PRICEGROUP3,36.9106,83.0477,3030
000220UC,PRICEGROUP4,41.5239,83.0477,3020
000220UC,PRICEGROUP5,44.9836,83.0477,3010
000220UC,PRICEGROUP6,33.45,83.0477,3031
000220UC,PRICEGROUP7,41.5239,83.0477,3021
000500,PRICEGROUP1,33.45,83.0477,3050
000500,PRICEGROUP2,33.45,83.0477,3040
000500,PRICEGROUP3,36.9106,83.0477,3030
000500,PRICEGROUP4,41.5239,83.0477,3020
000500,PRICEGROUP5,44.9836,83.0477,3010
000500,PRICEGROUP6,33.45,83.0477,3031
000500,PRICEGROUP7,41.5239,83.0477,3021
000600,PRICEGROUP1,33.45,83.0477,3050
000600,PRICEGROUP2,33.45,83.0477,3040
000600,PRICEGROUP3,36.9106,83.0477,3030
000600,PRICEGROUP4,41.5239,83.0477,3020
000600,PRICEGROUP5,44.9836,83.0477,3010
000600,PRICEGROUP6,33.45,83.0477,3031
000600,PRICEGROUP7,41.5239,83.0477,3021
000610,PRICEGROUP1,33.45,83.0477,3050
000610,PRICEGROUP2,33.45,83.0477,3040
000610,PRICEGROUP3,36.9106,83.0477,3030
000610,PRICEGROUP4,41.5239,83.0477,3020
000610,PRICEGROUP5,44.9836,83.0477,3010
000610,PRICEGROUP6,33.45,83.0477,3031
000610,PRICEGROUP7,41.5239,83.0477,3021
000660,PRICEGROUP1,33.45,83.0477,3050
000660,PRICEGROUP2,33.45,83.0477,3040
000660,PRICEGROUP3,36.9106,83.0477,3030
000660,PRICEGROUP4,41.5239,83.0477,3020
000660,PRICEGROUP5,44.9836,83.0477,3010
000660,PRICEGROUP6,33.45,83.0477,3031
000660,PRICEGROUP7,41.5239,83.0477,3021
000680,PRICEGROUP1,33.45,83.0477,3050
000680,PRICEGROUP2,33.45,83.0477,3040
000680,PRICEGROUP3,36.9106,83.0477,3030
000680,PRICEGROUP4,41.5239,83.0477,3020
000680,PRICEGROUP5,44.9836,83.0477,3010
000680,PRICEGROUP6,33.45,83.0477,3031
000680,PRICEGROUP7,41.5239,83.0477,3021
000700,PRICEGROUP1,33.45,83.0477,3050
000700,PRICEGROUP2,33.45,83.0477,3040
000700,PRICEGROUP3,36.9106,83.0477,3030
000700,PRICEGROUP4,41.5239,83.0477,3020
000700,PRICEGROUP5,44.9836,83.0477,3010
000700,PRICEGROUP6,33.45,83.0477,3031
